symbol,exists,company,industry_id,sector_id,country_id,capitalization,exchange
A,t,Agilent Technologies Inc.,201,8,1,7.65B,NYSE
AA,t,"Alcoa, Inc.",2,1,1,10.74B,NYSE
AAC,t,Ableauctions.com Inc.,131,7,9,2.59M,NYSE
AACC,t,Asset Acceptance Capital Corp.,56,4,1,259.85M,NASD
AAI,t,AirTran Holdings Inc.,164,7,1,792.80M,NYSE
AAII,t,"Alabama Aircraft Industries, Inc",102,6,1,5.16M,NASD
AAME,t,Atlantic American Corp.,64,4,1,16.07M,NASD
AAN,t,"Aaron's, Inc.",165,7,1,1.45B,NYSE
AANB,t,Abigail Adams National Bancorp Inc.,73,4,1,8.75M,NASD
AAON,t,AAON Inc.,106,6,1,335.48M,NASD
AAP,t,Advance Auto Parts Inc.,125,7,1,4.43B,NYSE
AAPL,t,Apple Inc.,198,8,1,143.32B,NASD
AAR,t,A M R CP 7.875 PFD,\N,\N,\N,\N,NYSE
AATI,t,"Advanced Analogic Technologies, Inc.",207,8,1,213.74M,NASD
AAU,t,Almaden Minerals Ltd.,7,1,9,32.03M,NYSE
AAUK,t,ANGLO AM PLC ADR,7,1,52,41.73B,NASD
AAV,t,Advantage Oil & Gas Ltd.,10,1,9,756.49M,NYSE
AAWW,t,Atlas Air Worldwide Holdings Inc.,122,7,1,517.09M,NASD
AAXJ,f,iShares MSCI All Country Asia ex Jpn Idx,58,4,1,-,NASD
AB,t,AllianceBernstein Holding L.P.,52,4,1,2.12B,NYSE
ABA,t,ALABAMA PWR SER JJ,\N,\N,\N,\N,NYSE
ABAT,t,Advanced Battery Technologies Inc.,109,6,1,245.16M,NASD
ABAX,f,Abaxis Inc.,86,5,1,444.20M,NASD
ABB,t,ABB Ltd.,109,6,49,40.27B,NYSE
ABBC,t,Abington Bancorp Inc.,83,4,1,195.30M,NASD
ABC,t,AmerisourceBergen Corporation,139,7,1,5.83B,NYSE
ABCB,t,Ameris Bancorp,70,4,1,88.27M,NASD
ABCO,t,Advisory Board Co.,166,7,1,371.26M,NASD
